Sl. No.,ALL Base Files,ALL Adding Files,Inserting Location,Removing Location
1,AC-ANCIENT-INDIAN-HISTORY,AC-ANCIENT-INDIAN-HISTORY-ATT,2,2
2,AC-BANKING-AND-FINANCIAL-SERVICES,AC-BANKING-AND-FINANCIAL-SERVICES-ATT,2,2
3,AC-BENGALI,AC-BENGALI-ATT,2,2
4,AC-BOTANY,AC-BOTANY-ATT,2,2
5,AC-BUSINESS-MANAGEMENT,AC-BUSINESS-MANAGEMENT-ATT,2,2
6,AC-CHEMISTRY,AC-CHEMISTRY-ATT,2,2
7,AC-COMMERCE,AC-COMMERCE-ATT,2,2
8,AC-ECONOMICS,AC-ECONOMICS-ATT,2,2
9,AC-ENGLISH,AC-ENGLISH-ATT,2,2
10,AC-GANDHIAN-THOUGHT,AC-GANDHIAN-THOUGHT-ATT,2,2
11,AC-GEOGRAPHY,AC-GEOGRAPHY-ATT,2,2
12,AC-GEOLOGY,AC-GEOLOGY-ATT,2,2-3
13,AC-HINDI,AC-HINDI-ATT,2,2
14,AC-HISTORY,AC-HISTORY-ATT,2,2
15,AC-HOME-SCIENCE,AC-HOME-SCIENCE-ATT,2,2
16,AC-MAITHILI,AC-MAITHILI-ATT,2,2
17,AC-MANAGEMENT,AC-MANAGEMENT-ATT,2,2
18,AC-MATHS,AC-MATHS-ATT,2,2
19,AC-MUSIC,AC-MUSIC-ATT,2,2
20,AC-PHILOSOPHY,AC-PHILOSOPHY-ATT,2,2
21,AC-PHYSICS,AC-PHYSICS-ATT,2,2
22,AC-POLITICAL-SCIENCE,AC-POLITICAL-SCIENCE-ATT,2,2
23,AC-PSYCHOLOGY,AC-PSYCHOLOGY-ATT,2,2-3
24,AC-RURAL-ECONOMICS,AC-RURAL-ECONOMICS-ATT,2,2
25,AC-SANTALI,AC-SANTALI-ATT,2,2
26,AC-SOCIOLOGY,AC-SOCIOLOGY-ATT,2,2
27,AC-STATISTICS,AC-STATISTICS-ATT,2,2
28,AC-ZOOLOGY,AC-ZOOLOGY-ATT,2,2
29,AEC-BENGALI-For-Sem-3&4,AEC-BENGALI-For-Sem-3&4-ATT,2,2
30,AEC-ENGLISH-For-Sem-3&4,AEC-ENGLISH-For-Sem-3&4-ATT,2,2
31,AEC-HINDI-(Compulsory)-For-Sem-I,AEC-HINDI-(Compulsory)-For-Sem-I-ATT,2,2
32,AEC-HINDI-For-Sem-3&4,AEC-HINDI-For-Sem-3&4-ATT,2,2
33,AEC-SANTALI-For-Sem-3&4,AEC-SANTALI-For-Sem-3&4-ATT,2,2
34,AV-ADVERTISING-MANAGEMENT,AV-ADVERTISING-MANAGEMENT-ATT,2,2
35,AV-ANALYTICAL-METHODS-IN SCIENCE,AV-ANALYTICAL-METHODS-IN SCIENCE-ATT,2,2-3
36,AV-AWARENESS-OF-RIGHTS-AND-LAWS,AV-AWARENESS-OF-RIGHTS-AND-LAWS-ATT,2,2-3
37,AV-CREATIVE-THINKING-AND-WRITING-IN-ENGLISH,AV-CREATIVE-THINKING-AND-WRITING-IN-ENGLISH-ATT,2,2-3
38,AV-DIGITAL-MARKETING-AND-MANAGEMENT,AV-DIGITAL-MARKETING-AND-MANAGEMENT-ATT,2,2
39,AV-DISASTER-MANAGEMENT,AV-DISASTER-MANAGEMENT-ATT,2,2-3
40,AV-ENTREPRENEURSHIP-DEVELOPMENT-SKILL,AV-ENTREPRENEURSHIP-DEVELOPMENT-SKILL-ATT,2,2
41,AV-FUNDAMENTAL-OF-ACCOUNTING,AV-FUNDAMENTAL-OF-ACCOUNTING-ATT,2,2
42,AV-INSTRUMENTATION-AND-TECHNIQUES,AV-INSTRUMENTATION-AND-TECHNIQUES-ATT,2,2-3
43,AV-MUSHROOM-CULTIVATION,AV-MUSHROOM-CULTIVATION-ATT,2,2
44,AV-ORGANIC-FARMING,AV-ORGANIC-FARMING-ATT,2,2
45,AV-SUSTAINABLE-DEVELOPMENT,AV-SUSTAINABLE-DEVELOPMENT-ATT,2,2
46,CC-Environmental-Studeis,CC-Environmental-Studeis-ATT,2,2-3
47,"CC-HEALTH-&-WELLNESS,YOGA-EDUCATION,SPORTS-AND-FITNESS-(VAC)","CC-HEALTH-&-WELLNESS,YOGA-EDUCATION,SPORTS-AND-FITNESS-(VAC)-ATT",2,2-3
48,CC-IKS,CC-IKS-ATT,2,2-3
49,"CC-SEC-for-SEM-I,I-&-III","CC-SEC-for-SEM-I,I-&-III-ATT",2,2
50,CC-Social-Awerness,CC-Social-Awerness-ATT,2,2-3
51,CC-UNDERSTANDING-INDIA,CC-UNDERSTANDING-INDIA-ATT,2,2-3
52,MDC-DIGITAL-MARKETING,MDC-DIGITAL-MARKETING-ATT,2,2
53,MDC-GENDER-STUDIES-FOR-SEMESTER-I,MDC-GENDER-STUDIES-FOR-SEMESTER-I-ATT,2,2-3
54,MDC-GST,MDC-GST-ATT,2,2
55,MDC-INDIAN-CULTURAL-STUDIES-FOR-SEMESTER-III,MDC-INDIAN-CULTURAL-STUDIES-FOR-SEMESTER-III-ATT,2,2
56,MDC-INDIAN-PHILOSOPHY-FOR-SEMESTER-III,MDC-INDIAN-PHILOSOPHY-FOR-SEMESTER-III-ATT,2,2-3
57,MDC-INDIAN-VEDIC-MATHEMATICS,MDC-INDIAN-VEDIC-MATHEMATICS-ATT,2,2
58,MDC-INTRODUCTION-TO-INDIAN-VALUES-AND-ETHICS-SEM-II,MDC-INTRODUCTION-TO-INDIAN-VALUES-AND-ETHICS-SEM-II-ATT,2,2
59,MDC-KAUTILYA’S-ARTHASHASTRA-FOR-SEMESTER-III,MDC-KAUTILYA’S-ARTHASHASTRA-FOR-SEMESTER-III-ATT,2,2
60,MDC-MATHEMATIICAL-AND-COMPUTATIONAL-THINKING-SEM-1,MDC-MATHEMATIICAL-AND-COMPUTATIONAL-THINKING-SEM-1-ATT,2,2-3
61,MDC-NUTRITION-AND-HEALTH-EDUCATION-FOR SEM-II,MDC-NUTRITION-AND-HEALTH-EDUCATION-FOR SEM-II-ATT,2,2
62,MDC-POLLUTION-CONTROL-AND-WASTE-MANAGEMENT-FOR-SEM-I,MDC-POLLUTION-CONTROL-AND-WASTE-MANAGEMENT-FOR-SEM-I-ATT,2,2-3
63,MDC-SANTAL-TRIBES-AND-CULTURE,MDC-SANTAL-TRIBES-AND-CULTURE-ATT,2,2
64,MJ-ANCIENT-INDIAN-HISTORY,MJ-ANCIENT-INDIAN-HISTORY-ATT,2,2
65,MJ-BENGALI,MJ-BENGALI-ATT,2,2
66,MJ-BOTANY,MJ-BOTANY-ATT,2,2
67,MJ-CHEMISTRY,MJ-CHEMISTRY-ATT,2,2
68,MJ-COMMERCE,MJ-COMMERCE-ATT,2,2
69,MJ-ECONOMICS,MJ-ECONOMICS-ATT,2,2
70,MJ-ENGLISH,MJ-ENGLISH-ATT,2,2
71,MJ-GANDHIAN-THOUGHT,MJ-GANDHIAN-THOUGHT-ATT,2,2
72,MJ-GEOGRAPHY,MJ-GEOGRAPHY-ATT,2,2-3
73,MJ-GEOLOGY,MJ-GEOLOGY-ATT,2,2-3
74,MJ-HINDI,MJ-HINDI-ATT,2,2
75,MJ-HISTORY,MJ-HISTORY-ATT,2,2
76,MJ-HOME-SCIENCE,MJ-HOME-SCIENCE-ATT,2,2
77,MJ-MAITHILI,MJ-MAITHILI-ATT,2,2-3
78,MJ-MATHS,MJ-MATHS-ATT,2,2
79,MJ-MUSIC,MJ-MUSIC-ATT,2,2
80,MJ-PHILOSOPHY,MJ-PHILOSOPHY-ATT,2,2
81,MJ-PHYSICS,MJ-PHYSICS-ATT,2,2
82,MJ-POLITICAL-SCIENCE,MJ-POLITICAL-SCIENCE-ATT,2,2
83,MJ-PSYCHOLOGY,MJ-PSYCHOLOGY-ATT,2,2-3
84,MJ-RURAL-ECONOMICS,MJ-RURAL-ECONOMICS-ATT,2,2
85,MJ-SANTALI,MJ-SANTALI-ATT,2,2
86,MJ-SOCIOLOGY,MJ-SOCIOLOGY-ATT,2,2
87,MJ-STATISTICS,MJ-STATISTICS-ATT,2,2
88,MJ-ZOOLOGY,MJ-ZOOLOGY-ATT,2,2
